,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luderitz,-26.65,15.16,284.15,100,0,2.1,NA,1595917686
1,vanimo,-2.67,141.3,302.16,69,29,3.12,PG,1595917686
2,ushuaia,-54.8,-68.3,273.15,93,90,12.3,AR,1595917516
3,muriti,-1.98,32.92,293.15,60,7,2.6,TZ,1595917687
4,taoudenni,22.68,-3.98,304.93,45,31,5.16,ML,1595917687
5,fortuna,40.6,-124.16,286.48,92,79,1.98,US,1595917688
6,codrington,-38.27,141.97,285.51,78,73,1.48,AU,1595917688
7,chubbuck,42.92,-112.47,299.15,27,1,3.6,US,1595917688
8,albany,42.6,-73.97,297.59,79,33,0.89,US,1595917635
9,baykit,61.67,96.37,295.73,48,81,0.85,RU,1595917689
10,rikitea,-23.12,-134.97,295.43,84,83,9.7,PF,1595917689
11,mazamet,43.49,2.37,295.15,73,47,5.1,FR,1595917689
12,saskylakh,71.92,114.08,288.85,49,41,3.96,RU,1595917690
13,maumere,-8.62,122.21,299.9,63,39,4.32,ID,1595917690
14,anastacio,-20.48,-55.81,294.03,55,0,1.47,BR,1595917690
15,itoman,26.12,127.67,305.15,66,40,5.7,JP,1595917690
16,butaritari,3.07,172.79,301.7,77,100,5.77,KI,1595917691
17,nome,64.5,-165.41,283.15,93,90,8.7,US,1595917653
18,nikolskoye,59.7,30.79,295.93,60,77,3.0,RU,1595917692
19,thompson,55.74,-97.86,286.15,87,90,1.5,CA,1595917692
20,tuatapere,-46.13,167.68,280.93,85,100,1.79,NZ,1595917692
21,new norfolk,-42.78,147.06,284.26,85,24,0.47,AU,1595917692
22,yakima,46.47,-120.67,300.15,40,1,4.1,US,1595917692
23,general roca,-39.03,-67.58,275.15,74,0,2.1,AR,1595917693
24,standish,43.98,-83.96,292.04,93,1,2.94,US,1595917693
25,qaanaaq,77.48,-69.36,276.86,74,0,0.11,GL,1595917693
26,arraial do cabo,-22.97,-42.03,294.88,83,0,10.95,BR,1595917694
27,saint-denis,48.92,2.33,292.15,59,20,3.6,FR,1595917694
28,hilo,19.73,-155.09,300.15,61,90,2.5,US,1595917694
29,lamar,33.67,-95.58,297.15,88,1,2.1,US,1595917694
30,romitan,39.93,64.38,311.15,16,0,3.1,UZ,1595917695
31,nuuk,64.18,-51.72,280.15,93,100,8.2,GL,1595917695
32,latung,5.5,120.88,301.93,71,98,2.51,PH,1595917695
33,nakhon phanom,17.41,104.78,304.26,83,75,1.5,TH,1595917696
34,busselton,-33.65,115.33,290.93,71,93,5.32,AU,1595917696
35,hualmay,-11.1,-77.61,287.67,85,85,2.53,PE,1595917696
36,klaksvik,62.23,-6.59,281.15,93,98,11.8,FO,1595917696
37,hambantota,6.12,81.12,302.15,83,90,4.1,LK,1595917697
38,saint-philippe,-21.36,55.77,296.15,78,96,6.7,RE,1595917697
39,saint pete beach,27.73,-82.74,299.15,88,1,1.79,US,1595917697
40,torbay,47.67,-52.73,286.48,100,90,4.1,CA,1595917698
41,san patricio,19.22,-104.7,298.75,81,98,1.74,MX,1595917698
42,polevskoy,56.44,60.19,293.15,52,20,5.0,RU,1595917698
43,punta arenas,-53.15,-70.92,276.15,80,67,7.2,CL,1595917698
44,hermanus,-34.42,19.23,280.93,93,13,0.45,ZA,1595917699
45,bambous virieux,-20.34,57.76,297.15,73,75,4.1,MU,1595917699
46,iqaluit,63.75,-68.51,287.15,76,75,4.1,CA,1595917611
47,avarua,-21.21,-159.78,295.15,73,57,3.6,CK,1595917700
48,maningrida,-12.07,134.27,302.67,34,98,3.69,AU,1595917700
49,krasnoselkup,65.7,82.47,290.4,59,88,6.86,RU,1595917700
50,buala,-8.14,159.59,302.3,73,53,3.43,SB,1595917701
51,lokosovo,61.13,74.82,288.59,47,97,3.3,RU,1595917701
52,kupang,-10.17,123.58,304.15,40,40,8.2,ID,1595917677
53,cuauhtemoc,28.42,-106.87,291.22,75,7,1.94,MX,1595917702
54,nhulunbuy,-12.23,136.77,299.15,57,40,7.7,AU,1595917702
55,phan thiet,10.93,108.1,304.79,64,76,5.18,VN,1595917624
